,commentIds,comments
1169,FDA-2011-N-0271-0011,See attached file(s)
1170,FDA-2014-N-0086-0013,"My comment is directed to the FDA's parent agency, the Department of Health and Human Services. As you know HHS recently directed hospitals NOT to send Covid-19 data to the CDC.I would ask the HHS: Are you at all concerned that at a time when 3.5 million Americans have been infected with Covid-19 and 140,000 have died, President Trump is talking about dishwashers and light bulbs?THE PRESIDENT: So we made it so dishwashers now have a lot more water. And in many places -- in most places of the country, water is not a problem. They don't know what to do with it. It's called rain.THE PRESIDENT: And old-fashioned incandescent light bulbs -- I brought them back. I brought them back.The country is in crisis. 70,000 new Covid-19 cases per day. Nearly 1000 deaths a day. Businesses, schools and families all facing disruption and debt. And the president?THE PRESIDENT: Because my hair -- I don't know about you, but it has to be perfect. Perfect."
1171,FDA-2013-N-0521-0085,See attached file(s)
1173,FDA-2012-D-0071-1219,"This is disgusting and needs to stop. If it's already been proven that inhaling any type of smoke is bad for lungs, then why does this needed to be tested on mice? This is a pointless and cruel experiment!"
1174,FDA-2013-N-0521-0263,Please see the attached public comment.
1175,FDA-2009-N-0294-0457,"As a health educator, I vindicate products that ineviditabley incur death and/or disability to those who use them. Tobacco in its many forms are one of these products. I cheer for those who fought for the new FDA legistion, as I hope it will further prevent people from starting to use tobacco or quit using tobacco. However, some the exemptions in the new FDA legislation concern me. I beleive the new regulation should extend its juristition over other forms of tobacco besides cigarettes--cigars, little cigars, cigarillos, pipes, and hookah are also harmful to humans and still incur addition and physical consequences. Additionally, mentolated cigarettes should NOT be exempt from the new ban on flavored cigarettes. Menthol is the most widely used flavor in cigarettes, particularly among African Americans, and should not receive a special consideration.Please take my comments seriously, as I, just like you, are trying to protect my fellow Americans from the harmful effects of the most deadly legal product in the United States. Sincerely, Alyson C. Ward M.S. CHES"
1176,FDA-2012-D-0071-0144,"Please stop the use of animals in tobacco testing. I saw a heartbreaking image of animals shoved into tiny plastic containers while cigarette smoke is poured into their bodies. It's horrible, and the US is better than that. We don't need to disrespect and abuse the animals living with us on this planet for experiments on a product we already know causes health problems. Please use human case studies for these tests, I beg you from the bottom of my heart. Thank you, Kacey"
1177,FDA-2015-N-1514-0309,"As a pediatrician, I strongly call for the need for adequate labeling and appropriate packaging for liquid nicotine products. These products are currently being inappropriately targeted to children through the use of child-friendly packaging and labels. As a result, children are ingesting these products and are being poisoned. We cannot control whether or not individuals choose to use liquid nicotine, but we can play a large role in determining whether or not these products become harmful, and ultimately, deadly, to children."
1178,FDA-2013-N-0521-0008,"I understand that as a federal agency you have certain protocols that must be followed. In that vain, I want you to know how I precisely feel regarding the action that the FDA should take:The FDA should determine that mentholated cigarettes clearly is the gateway for teenagers and young adults to start smoking and the tobacco industry has known this for decades and therefore they target market their advertising toward this segment of the population and in particular to low income minorities. It is preposterous that in 2009 Congress gave the FDA permission to ban flavored tobacco products with the exception of menthol. Mentholated tobacco products are clearly marketed toward this same vulnerable young populace as flavored tobacco products however, Congress specifically held off from giving the FDA the authority to ban menthol cigarettes.In 2009, it was obvious this absurdity occurred due to a compromise that the tobacco industry was willing to live with. I repeat, the tobacco industry was willing to live with and the members of Congress who were and are still beholden to the tobacco cartel would agree to.The tobacco industry has had their four years of bought time to expand their marketing to e-cigarettes so it is now time to eliminate mentholated cigarettes from the market. It is time that the FDA consider menthol to be the same as fruit flavors, as well as flavors such as chocolate and vanilla which have been banned.It is a no brainer. If the FDA wants to do the job that they are sanctioned for, then they should end the sale of menthol cigarettes promptly."
1179,FDA-2009-N-0294-0409,Close the loopholes!
1180,FDA-2012-D-0071-0762,I strongly urge you to remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing.
1181,FDA-2012-D-0071-0706,Torturing other animals is not necessary to find solutions to protect human beings. It would be simpler to put that effort into convincing humans to stay away from consuming tobacco in any form.
1183,FDA-2012-N-0853-0012,Dear:Im very interested to perform a inspection regarding the tobacco and other products in Mxico.It is there a possibility to have the training?I have previous training as CRA in clinical trials and actually Im the research coordinator at a public Hospital in Mxico City
1185,FDA-2013-N-0521-0355,Comment from the Honorable Randy McNally State Senate State of Tennessee
1186,FDA-2012-D-0071-0504,"Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.We do not want any more animals to suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!"
1187,FDA-2009-N-0294-0471,My name is Chad Owen and I am the Vice President of Business Affairs for Chambers & Owen.  I am the fifth generation of our company that has been in business since 1891.  We employ approximately 300 people.  Tobacco products comprise a large portion of our business.  We fully intend to comply with any and all rules and regulations the FDA imposes on tobacco products.  The tobacco industry is one of the most complex in the United States.   It is my hope that the FDA relies on the companies that have been distributing tobacco products for many years for insight and advice.  Many tobacco regulations at both the state and federal levels are very vague.  The cigarette flavor ban information was equally as vague and confusing.  It is also my hope that the FDA does their best to make any future regulations clear and concise so that wholesalers can follow their intent and fully uphold the laws.  I also hope that the FDA is sensitive to the affects their decisions have on wholesalers.  Sell thru periods are a must.  Most wholesalers simply cannot afford to sit on product that has been deemed illegal.  It could seriously threaten a company's future if they have to incur excess inventory costs without a sell thru period.  It is also important that the FDA realizes that all wholesalers do is distribute products.  We do not have control over how the manufacturer produces the product and therefore should not be punished if something the manufacturer produces does not meet FDA criteria.Thank you for your time and consideration.
1189,FDA-2012-D-0071-0263,"Animal testing is inhumane and does not create accurate results.  Please make animal testing illegal and explore the use of other testing such as computer simulation, tests using human cells, and clinical studies with human smokers.  Thank you."
1190,FDA-2012-D-0071-0417,what the hell is wrong with you?!
1192,FDA-2009-N-0294-0300,9/11 Exposed! http://www.youtube.com/watch?v=ZyKR2-A0KPU&feature=ytn%3Amptnews
1193,FDA-2011-N-0467-0027,"I support only face-to-face tobacco sales (prohibiting sales via machines) in order to reduce under age tobacco sales.I also support restricting the advertising of tobacco to black lettering on white background signage with no graphics.Although the sale of tobacco is legal, tobacco is a unique, addictive product that kills almost half a million US residents every year.  Ninety percent of smokers began smoking before the age of 18 years, so it is critical that we protect our youth from a lifelong, deadly addiction.  Studies show that approximately 75% of established smokers want to quit.I feel that these two steps will help to reduce illegal youth purchase of tobacco as well as protect them from the tobacco industry's predatory advertising aimed at youth."
1194,FDA-2013-N-0521-0103,na
1195,FDA-2009-N-0294-0268,"Dear Commissioner Hamburg, I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely,"
1196,FDA-2012-D-0071-0103,"This is sick, and not very humane. Big picture if something smarter or bigger than us ever comes along, we would not want to be stuffed in tube and forced to breathe tobacco fumes. We need to be more caring, this is torture. If we stuck terrorists in the tube it would be considered torture, but I guess to an animal it is considered research. "
1197,FDA-2012-D-0071-1358,Do not waste these lives!  We already know that smoking causes cancer.  Further testing is pointless and cruel.
1198,FDA-2013-N-0521-0303,Comment from Reynolds American Inc Services Company
1199,FDA-2012-D-0071-1606,Humanity will have to choose between disappearing as a thinking species that attempts against the planet or evolving towards a new era of integration with the rest of the universe.FDA revise its recommendations so that no animals suffer and die for tobacco product testing.
1200,FDA-2012-D-0071-1582,Please remove animal testing from rules in tobacco testing.
1201,FDA-2012-D-0071-0911,"Forcing rats to endure breathing tobacco for six hours a day, for months on end, is just another cruel and stupid experiment that should not be allowed.  Humans have no business constantly subjecting other living, feeling, sentient beings to such horrendous practices. It's cruel, inhumane, tortuous, and unnecessary.It's time to put an end to these barbaric practices.  Scientists do not need to use live animals for this research. It's been proven that it is not that reliable, and there are better and more accurate means of obtaining the necessary data."
1202,TTB-2010-0004-0043,"Please leave the pipe tobacco regulations alone ,  we are already taxed enough, quit trying to make up the countrys debt by adding any more taxes to us American people"
1205,FDA-2011-N-0467-0081,I work to in the distribution of electronic cigarettes. Our product is complicated and needs to be explained to business owners in a professional and responsible manner.  Internet sales will not deliver the answers to many business owners' questions. It also won't negate possibilty of a minors ordering the product for their own consumption. Please be conscientious of our youth and avoid making this product readily available for anyone to purchase via the internet.
1206,FDA-2012-D-0071-1566,Don't allow cruel experiments on defenseless animals. Revise your policy recommendations. 
1208,FDA-2011-N-0467-0109,See attachment
1209,FDA-2012-D-0071-0902,Do not test rats on tobacco usage.  It is inhumane and not needed.  Test it on someone who smokes instead!!!
1210,FDA-2013-N-0521-0413,"See attached file(s)The majority of Mississippi students who smoke cigarettes, initiated smoking with menthol cigarettes. Over half of current smokers usually smoke menthol cigarettes. Our findings that Mississippi youth typically initiate smoking with menthol cigarettes and that most youth smokers smoke menthol cigarettes highlight the need to address the FDA TPSAC’s recommendation that removal of menthol cigarettes would improve public health."
1212,FDA-2012-D-0071-0281,Please stop the use of mice in your tests.
1215,FDA-2012-D-0071-1728,"Please do not use animal testing in your research of tobacco smoke.  The results are inaccurate and inhumane!  Many countries know and use modern, non-animal testing technology.  "
1216,FDA-2015-N-1514-0054,the reason I have become a vaper is I have 5 stents and a defib. so this has gotton me off the cigs that Ihad done for 20 years pluss I started at a high nic level now I do a o nic for about three months now this has helped me to quit the cigs that contain poisones 
1217,FDA-2012-D-0071-1068,"For decades, the tobacco industry used results from these misleading animal tests to deny the link between smoking and cancer because animals forced to inhale cigarette smoke don't develop the same diseases that human smokers do."
1219,FDA-2013-N-0521-0445,Minnesota Retailers Association
1220,FDA-2012-D-0071-1027,I am writing to request that you please do not allow the proposed testing of tobacco smoke on rats or any other animals.  There is already amply evidence to show how lethal this product is so why spend more money and cause misery to more animals in order to re-invent the wheel?  It would be far better to spend this money on health facilities for all the tobacco addicts dying from smoking-caused diseases.SincerelyVivien Smith
1221,FDA-2012-D-0071-1240,NO test is needed to determine that tobacco use is detrimental to your health.'Nuff said.
1224,FDA-2012-N-0143-0028,"I would like to encourage the FDA to look at the effect of heat on some of these additive chemicals. Researchers at Portland State University found the heat from e-cigarettes resulted in the formation of carcinogens from the solvents propylene glycol and glycerol (Jensen 2017). However the FDA clearly lists propylene glycol as an approved inactive ingredient for the inhalation route. Also a prior FDA-approved inhaler called Tornalate contained propylene glycol as an ingredient and was proven to be safe. So I believe classifying propylene glycol, for example, as a respiratory toxicant across the board is incorrect as it is really the application of heat to this chemical which causes the problem. It would be more correct to say that devices which apply heat to vaporize these chemicals are dangerous, whereas devices which atomize like the inhaler would not carry the same risk.References:Jensen RP, et al. Solvent chemistry in the electronic cigarette reaction vessel. Sci. Rep. 7, 42549; doi: 10.1038/srep42549 (2017).FDA/Center for Drug Evaluation and Research. Inactive ingredient search for approved drug products. Retrieved September 4, 2019, from https://www.accessdata.fda.gov/scripts/cder/iig/index.cfm."
1225,FDA-2012-D-0071-1038,"Please stop the testing of tobacco products on animals!They dont have the same anatomy as a human being, so the results will be different no matter how many you test on. An animal, like a human is a LIVING and BREATHING species!They feel pain, just like YOU. The only difference is, they CANNOT fight back. Would you want someone testing something on your kid that they didnt need? NO. So STOP TESTING TOBACCO PRODUCTS ON ANIMALS. All youre allowing these people to do is take innocent lives!!!"
1226,FDA-2009-N-0294-0071,"With all of the Health warnings on tobacco labels,  all of the media coverage and classroom education on the effects of tobacco use, those that choose to use tobacco do so willingly.  Kids all say that it will not happen to them.   With the current financial state of the health care industry, I wonder if it would be a deterant if Medicare, Medicaid and private insurance refused to pay for tobacco related illnesses if a person continues to use tobacco..  They could offer cessation methods as an incentive for up to one year, then deny coverage.  Doctors can tell who smokes or uses tobacco or can do tests.  As a School Nurse and former public health nurse, I appreciate all of the effort to help eliminate tobacco use and second-hand smoke.  I am even from NC!"
1227,FDA-2012-D-0071-0452,"To the FDA;I am shocked and sickened to learn that you conduct experiments on rats by forcing them into canisters and making them breathe in tobacco smoke.  You already know the harmful effects of tobacco usage.  Everyone knows it.  I urge you to please stop this inhuman practice at once.  I understand that European countries have signed on to oppose this, and ask that you do the same.  Please don't make us feel shame that we belong to a nation that would sacrifice the lives of animals for what?  Something important?  No, for tobacco smoke experiments!   Please, please stop.  Thank you."
1228,FDA-2015-N-1514-0302,"Comment re:   Nicotine Exposure Warnings and Child-Resistant Packaging for Liquid Nicotine, Nicotine-Containing ELiquid (s), and Other Tobacco Products; Request for Comments; Extension of Comment PeriodI would like to share both my professional and personal stories.I am a board member and past-president of the California Association for Alcohol & Drug Educators (CAADE), which accredits addiction studies programs in over 40 colleges and universities in California, Arizona and Nevada. It also issues the highest level of addiction counselor certification in California, and currently represents more than 16000 counselors, college faculty members and students. I myself teach addiction studies at Cypress College and Loyola Marymount University.CAADE has a special concern about smokers, as 80% of our patients in treatment centers smoke. CAADE has stepped up efforts to deal with this issue by calling for the addiction treatment community to use its expertise in developing better tools to help curb smoking. One of the most promising tools we now have is the use of electronic cigarettes for smoking cessation, and CAADE has officially endorsed their use. We are starting to see 50-80% reductions in tobacco cigarettes use in treatment centers that encourage use of vaping. I fully support regulations that make it hard for minors to vape. Child-proof caps and tough enforcement of ID checking make perfect sense. I oppose, however, any attempt to restrict flavors, as these are critical for successful smoking cessation for adults. I also oppose regulations that in effect will shut down the vaping industry and my ability to help treat smoking addiction.  "
1230,FDA-2012-D-0071-1136,"Stop this horrendous tobacco testing on animals. Find smokers who want to be tested, stop torturing innocent animals. Horrible!"
1231,FDA-2012-D-0071-0274,"It is a well-known fact that cigarette smoke is dangerous and harmful to a person's and an animals health. We as humans have no right to force animals to breathe these toxins for a mere benefit of proving that has already been proven. Save corporate money, give your employees raises with it and get rid of these horrendous tests. "
1232,FDA-2012-D-0071-0892,"I am very upset about the fact that animals are being used to test tobacco products. This is repulsive and disgusting. I believe we already know how deadly tobacco use is and I doubt that testing on poor, innocent animals will make any difference in the results. Stop this now please and leave these animals alone. This is really  shocking and upsetting.Please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing."
1233,FDA-2012-D-0071-0257,"REALLY????  AFTER ALL THE FACTS WE HAVE ON TOBACCO YOU STILL WANT TO TEST ON ANIMALS? Please reconsider and just KNOW that tobacco kills people!!!Kelly ErwinPalm Springs, CA"
1234,FDA-2012-D-0071-0626,"What you are doing is WRONG, humans have a choice, smoke or not, if they get sick or else is their CHOICE... Animals DONT have a choice.... stop what you are doing, all that kind of research is a waste of time and money....if research were free, they wouldnt exist, because of not money involved...."
1236,FDA-2012-D-0071-0088,This is horrible! Animals should be left out of any testing!
1237,FDA-2013-N-0521-0215,"The Honorable Wendell Willard, Georgia House of Representatives - Comment"
1238,FDA-2012-D-0071-1702,Quit the horribe animal testing
1239,FDA-2013-N-0521-0383,See attached file(s)
1240,FDA-2012-D-0071-0410,"IN THE NAME OF JUSTICE AND MERCY FOR ANIMALS, PLEASE DISCONTINUE THE HORRIFIC TOBACCO TESTING ON INNOCENT ANIMALS.  I AM A REGISTERED VOTER, AGED 65, AND KNOW THERE ARE ALTERNATE METHODS OF TESTING.  PLEASE HAVE MERCY ON THE ANIMAL KINGDOM.THANK YOU FOR YOUR COMPASSION,LORETTA BROWN."
1241,FDA-2012-D-0071-0731,stop these horrendous tobacco experiments on rats.
1242,FDA-2012-D-0071-1122,disgusting use of animals.Plus everybody knows that smoking is dangerous for the healt.
1243,FDA-2013-N-0521-0026,"Dear Food and Drug Administration:I would like to comment on the proposed new rule regarding menthol in cigarettes.  I am a tobacco control professional that has worked for over five years specifically with the Lesbian, Gay, Bisexual and Transgender (LGBT) community on the issue of smoking.   There is a great deal of data which shows that the LGBT community smokes significantly more than the general population.  The most recent data in California shows that LGBTs smoke twice as much as all others in our state. There is also evidence that our community smokes menthol at a high rate as well.  A 2010 report from the National Youth Advocacy Coalition (NYAC) -- see attached -- found that 71% of the LGBT young adults between 18 and 24 years of age that they surveyed smoked menthol.  This is consistent with the results of the FDA’s recent report that indicates a higher rate of menthol smoking among other minorities that face discrimination.As the FDA’s research also concluded, menthol increases the likelihood that youth and young adults will start smoking, become more heavily addicted to nicotine, and have a more difficult time quitting.Banning the use of menthol flavoring in tobacco products would help everyone, but it would have the largest impact on segments of the population, such as the LGBT community, that already smokes more and uses menthol products at a higher rate than others.I would like to respectfully request that a ban on the use of menthol in tobacco products be adopted as soon as possible.Thank you for your time and consideration.Sincerely,Brian DavisCalifornia Tobacco Control Program CoordinatorTri-City Health CenterFremont, CA 94538"
1247,FDA-2013-N-0521-0472,See attached file(s)
1251,FDA-2019-D-4188-0010,Please see attached comment
1252,FDA-2012-D-0071-0231,It is appalling that the FDA is proposing tests for tobacco where rats would be placed in tiny canisters and forced to breathe concentrated cigarette smoke for as long as six hours a day for months.  Please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing.
1253,FDA-2009-N-0294-0276,"Dear Commissioner Hamburg,I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely, Carolynn Hamlet"
1255,FDA-2013-N-0521-0171,DSC Logistics - Comment
1256,FDA-2012-D-0071-0314,STOP THIS HORRIBLE ANIMAL TESTING! IT IS CRUEL AND UNUSUAL!!
1257,FDA-2009-N-0294-0319,"Because of the many health care risk associated with tobacco products, our organization strongely supports a smoke freenation, banding the use of tobacco products completely.With health care reform as such, why should America allow thetobacco industry to contribute to the demise of our healththrought this dangerous and deathly drug,Sincerely,Hybebah ChevalierCEO and FounderChanged Lives"
1258,FDA-2012-D-0071-0653,"I am ashamed that your recommendations for testing of some tobacco products includes cruelty to animals!!!!PLEASE STOP!!!  No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!I URGE you to remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing.Please! "
1259,FDA-2011-N-0467-0038,"To whom it may concern:Enough is enough!  Your proposed cigar regulations are not fair nor needed.  The proposal is once again the government forcing its nose into a place where it does not belong to raise money and remove individual freedoms that active duty personnel and veterans fight for daily.  The implementation of this proposal would once again dip into the pockets of the civilian working class.  For centuries cigars have been smoked and enjoyed in various settings, from religious ceremonies, back room bars, and deal making rounds of golf.  When there are many areas of concern the FDA should get envolved; such as, birth control pills that increase risk of blood clots or pain pills that increase risk of CVA's, the FDA implementing these proposed rules demonstrates the fact that if the cigar industry and cigar smokers do not lobby and pay like the pharmaceutical companies they are going to get screwed.    I repectfully and humbly ask that the FDA rethink this rule and listen to the voice of all people.Thank you"
1260,FDA-2013-N-0521-0359,See attached file(s)
1261,FDA-2012-D-0071-0105,pleaase stop animal testing.  It is cruel and painful.
1262,FDA-2012-D-0071-1484,Please don't allow animal testing for tobacco products. 
1263,FDA-2009-N-0294-0279,"Stores should not be allowed to advertise tobacco products on their marquee signs, especially when they are in the vicinity of a school.  The attached photos show a marquee at Vine Street Market in Tooele, Utah with Marlboro cigarettes on sale.  The photo shows Tooele High School in the background.  The store is literally less than 200 feet from the school.  The week before this photo was taken, the marquee was advertising Copenhagen on sale.  So they are appealing to all types of tobacco users.  Across the street (not visible in the photo) is a city park and the public, indoor swimming pool.I don't think there should be any advertising of tobacco allowed on the outside of a store.  Even if a school is not in the direct vicinity of a convenience store, there are some stores located on the main route to a school, and therefore the advertising can't be ignored.Unfortunately, I tried to attach two photos, but it would not work."
1264,FDA-2012-D-0071-0147,See attached file(s)I strongly urge you not to allow tobacco testing on any animal. We know that it causes cancer and it is very dangerous so why subject poor helpless rats to those test? Would you want to be hooked up to a tube for 6 hours a day breathing in tobacco smoke. Do not make these animals suffer. They don't have a voice or they would say leave me alone. It is very cruel and unnecessary!
1265,FDA-2012-D-0071-0494,"The use of animals in testing the risks of tobacco products is unethical and cruel.  Unlike humans these animals do not submit themselves to the stupidity of smoking cigarettes.  Forcing them them to submit to a product that we already know is harmful is like putting them in a fire to show that the fire can burn them.  I urge you to oppose such a measure the would subject harmless animals that cannot defend or speak for themselves.  I hope you can find it in yourself to find some compassion for the animals that share this earth with us.  Respectfully SubmittedRafael Albarran Former Sergeant, United States Marine Corps"
1267,FDA-2011-N-0271-0010,"Please find attached Imperial Tobacco Limited's Comment on Harmful and Potentially Harmful Constituents in Tobacco Products and Tobacco Smoke submitted by William H. Melton of Commonwealth Brands, Inc.  Thank you for your time and attention to this matter."
1269,FDA-2012-D-0071-1436,"Please eliminate all wording in the draft guidance document Modified Risk Tobacco Product Applications that would allow the tobacco industry to conduct animal tests. I am a physician deeply concerned about the public health consequences of this guidance.Human population studies, clinical intervention trials, and human-based cellular studies should remain the foundation of tobacco research.  Animal studies were initially used to deny the smoking-lung cancer link. But decades of human epidemiology studies prove this link and other devastating effects tobacco has on human health. The Institute of Medicine says that it is not possible to make laboratory animals use tobacco products the way humans do, and there are inherent interspecies differences that prevent meaningful extrapolation of effects to humans.  The self-addiction studies that FDA recommends be performed in animals, such as “place preference,” “drug discrimination,” and “self-administration” studies, are not only cruel, but tenuously linked to human behavior"
1270,FDA-2013-N-0521-0349,Please see attached file.
1272,FDA-2009-N-0294-0344,Comment Letter and Enclosure in pdf format attached.
1273,FDA-2012-D-0071-1280,"We know that smoking is bad, it is not necessary to torture animals to prove it.  What kind of people would do this.  There is so much ulgliness in the world that people create.  Stop this ugly act and make the world a better place."
1275,FDA-2012-D-0071-0185,This is outrageous!  Rats are intelligent animals that my tax $ should ever support this sort of thing.  We already knw cigarette smoke is bad for us.  STOP NOW
1276,FDA-2009-N-0294-1150,
1277,FDA-2012-D-0071-0180,"Please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing. No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.Thank you, Julie Wade "
1279,FDA-2012-D-0071-0637,please stop these tests on animals with tobacco.
1280,FDA-2009-N-0294-0204,"Dear Commissioner Hamburg, I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely, Rev. Kathy A. Costanzo"
1281,TTB-2010-0004-0099,"Taxes are getting out of control in the U.S.  I believe that the middle class suffers enough in this society to have yet another tax put on us for smoking cigarettes.  As an individual who pays for their own health insurance, doctor's fees, and other health care, it would be difficult to maintain all the other taxes imposed on us, but if giving an ultimatum on how money is spent, I would choose smoking.  As difficult as that is to believe, more taxes could potentially mean cutting out my own health care costs, which in turn could hurt the government even more until health care is mandated as I have had several thousands of dollars in medical bills even with health insurance.  The one thing that I do know is that my freedom for smoking will not be taken away until my own choosing.  As a taxpayer in the U.S., the government sets such high standards of what is right and wrong, but contradictions are present and in our faces since I, the taxpayer, pay for illegals and people who scam Medicaid and food stamps through use of my tax money.  If you want to use some of that money to benefit my family or myself by cutting heath care costs, then please tax away, but if those taxes will be used for yet another problem area in our society, then maybe another country has better offerings for the educated taxpayers in this country."
1282,FDA-2012-D-0071-1288,"We already know the dangers of smoking. Both my parents died because of years of tobacco use. We do not need to subject any living things to the nightmare of cigarette smoke. Respectfully, Jan PatrickWarren, Ohio"
1284,FDA-2013-N-0521-0255,Kathryn E Coughlin - Comment
1287,FDA-2012-D-0071-1315,"Please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing. I have heard of horrible animal tests companies do which really disturb me.They need to use more accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers.Please do the right thing."
1288,FDA-2012-D-0071-1221,"Please stop your cruel and inhumane  testing of tobacco on animals.  What more is necessary to prove that tobacco causes cancer in humans?  The people who smoke should be tested, that would be more accurate information of what tobacco smoke does to humans, rats are not humans the test on them is irrelevant.  We have statistics, check them out, stop wasting money  and torturing animals with ridiculous tests which have no bearings on humans.   "
1289,FDA-2012-D-0071-0897,How much proof do you need that smoking kills??????Why torture an innocent animal?   What the hell is wrong with you????????
1290,FDA-2009-N-0294-0431,"Tobacco use causes:Injury to health and shortening of Life Span,It rots teeth and lungs,It curtails health in users of all ages,It balloons expensive health care costs,and, to benefit the public, should be strictly regulated."
1292,FDA-2011-N-0467-0074,•It’s not fair for the federal government to favor out of state retailers over local businesses by making it easier to sell on the Internet than from a bricks and mortar retailer.
1294,FDA-2012-D-0071-0698,"PLEASE do not torture these poor rats for tobacco testing.  We already know what cigarette smoking will do to humans' health and they are much better alternatives for testing.  The gauge of a progressively positive and moral society can be seen in the way we treat ALL animals, especially those with lower intelligence and helplessness.Thank you.Vicki Schlenker"
1297,FDA-2012-N-0143-0025,Your scientific analysis is greatly appreciated.  Is it possible to add the CAS Number (or similar scientific notation) for each substance/chemical?  This will facilitate cross reference to other sources of information.Thank you.
1301,FDA-2009-N-0294-0144,"Not only for the health of children, youth, and the elderly, but also for the health of Earth and the extensive tracks of top soil that is destroyed by the over production of the tobacco agra-industry, do I endorse this movement to tell the FDA to implement the law in ways that pave the road for the U.S. to join the global tobacco treaty."
1302,FDA-2013-N-0521-0125,Southern Association Wholesale Distributors - Comment
1304,FDA-2015-N-1514-0255,"Please find a letter from Edward P. Ehlinger, MD, MSPH, Commissioner, Minnesota Department of Health, and an attachment with supporting documentation."
